#,Effect Name,Effect Description,Rarity,Category,Scope,Duration,Cycle,Player
211,Luck of the Draw,"Each player names a card and then reveals the top card of their library. If they reveal the named card, they may put it onto the battlefield. Otherwise, they put the card on the bottom of their library and they lose 1 life.",2 - Uncommon,Cards,All,Instant,Antiquity,Duel
214,Grave Robin Hood,Each player with the lowest life total may choose a creature from any graveyard and put it onto the battlefield under their control.,2 - Uncommon,Cards,All,Instant,Grave,Duel
215,Grave Sheriff,Choose a creature or artifact from any graveyard and put it onto the battlefield under target opponent's control.,2 - Uncommon,Cards,Player,Instant,Grave,Duel
216,Group Think,Each player draws a card for each creature they control.,2 - Uncommon,Cards,All,Instant,Antiquity,Duel
223,Power Outage,Each player loses four energy counters.,2 - Uncommon,Destruction,All,Instant,Kaladesh,Duel
227,Silly English Knnnnnnuggets,"Until the end of your turn, you may speak in an outrageous accent. If you do not, sacrifice two creatures chosen by target opponent.",2 - Uncommon,Wacky,Player,Turn,,Duel
228,Exploration,Create a token land of each basic land type (including Wastes).,2 - Uncommon,Token,Player,Instant,,Duel
229,Trade!,"Choose an unchosen opponent. Look at their hand and choose a card. That opponent may copy this effect and choose a new unchosen player. Once all players have been chosen or the effect is not copied, each player puts the card they chose into their hand.",2 - Uncommon,Cards,All,Instant,,Duel
231,Rolling Dice of Thunder,"Choose three target creatures or players. Deal 1d4 damage to the first, 1d6 damage to the second, and 1d8 damage to the third.",2 - Uncommon,Damage,Player,Instant,,Duel
232,Tranquility,Destroy all enchantments.,2 - Uncommon,Destruction,All,Instant,,Duel
233,Aluren Round,"Until the start of your next turn, all players may play creatures with a CMC of 3 or less without paying their casting cost any time they could play an instant.",2 - Uncommon,Cards,All,Round,,Duel
235,Bowser,Flip a coin: Heads: Each player with the highest life total loses 5 life. Tails: Each player with the lowest life total gains 5 life.,2 - Uncommon,Life,All,Instant,,Duel
236,Return of the Weenies,All creatures with power and toughness 2 or below in all graveyards are returned to battlefield under their owner's control.,2 - Uncommon,Cards,All,Instant,,Duel
237,Alzheimer's,Look at target player's hand and choose three cards. Put those cards on top of their owner's library in any order.,2 - Uncommon,Cards,Target Player,Instant,,Duel
239,Risky Tutor,"You may search your library for a card and put it in your hand. If you do, shuffle your library, then discard a card at random.",2 - Uncommon,Cards,Player,Instant,,Duel
243,Acceleration Round,"Until the start of your next turn, each player flips a coin during their upkeep. Heads: that player draws 2 cards. Tails: that player draws 1 card.",2 - Uncommon,Cards,All,Round,,Duel
245,A Simple Wager,You and target opponent each exile a card from hand. Flip a coin. Heads: you put both cards in your hand. Tails: opponent puts both cards in their hand.,2 - Uncommon,Cards,"Player, Opponent",Instant,,Duel
251,Super Generousity,"All players search their libraries for up to three basic lands and put them into play tapped, then shuffle their library.",2 - Uncommon,Cards,All,Instant,,Duel
253,It's Dangerous to Go Alone,Create a 2/3 green Hylian Hero creature token with first strike.,2 - Uncommon,Token,Player,Instant,Reference,Duel
255,Cake or Death,Choose one: [Gain 5 life.] or [Deal 5 damage divided as you choose among any number of creatures or players.],2 - Uncommon,Life,All,Instant,Player Choice,Duel
260,Q Branch Gadget,"Target creature gains your choice of one of the following: first strike, skulk, or hexproof.",2 - Uncommon,Buff,Player,Ongoing,Bond,Duel
261,Q Branch Gizmo,"Target creature gains your choice of one of the following: trample, flying, or menace.",2 - Uncommon,Buff,Player,Ongoing,Bond,Duel
265,Creature Wipe,Destroy all creatures.,2 - Uncommon,Destruction,All,Instant,,Duel
266,Creature Bounce,Return all creatures to their owner's hand.,2 - Uncommon,Cards,All,Instant,,Duel
267,Creature Purge,Exile all creatures.,2 - Uncommon,Destruction,All,Instant,,Duel
271,License to Kill,"Create a 1/1 black Bond creature token with hexproof, undying, and ""T: Destroy target tapped creature.""",2 - Uncommon,Token,Player,Instant,Bond,Duel
273,Doctor's Visit,Destroy all auras that do not share a controller with their target.,2 - Uncommon,Destruction,All,Instant,,Duel
277,House Swap,Exchange control of all creatures you control and all creatures controlled by target opponent.,2 - Uncommon,Cards,"Player, Opponent",Instant,,Duel
278,Temporary Visa,Exchange control of all token creatures you control and all token creatures controlled by target opponent.,2 - Uncommon,Cards,"Player, Opponent",Instant,,Duel
279,Bottled Counterspell,"Create a colourless Counter Bottle artifact token with ""Sacrifice Counter Bottle: Counter target spell."".",2 - Uncommon,Token,Player,Instant,,Duel
280,Bottled Lightning,"Create a colourless Lightning Bottle artifact token with ""Sacrifice Lightning Bottle: Deal 3 damage to target creature or player.""",2 - Uncommon,Token,Player,Instant,,Duel
281,Bottled Health,"Create a colourless Health Bottle artifact token with ""Sacrifice Health Bottle: Gain 3 life or prevent 3 damage to target creature or player.""",2 - Uncommon,Token,Player,Instant,,Duel
282,Mime Round,"Until the start of your next turn, any time a player speaks, they lose 1 life for each word spoken.",2 - Uncommon,Damage,All,Round,,Duel
283,Motion Sensor,"Create a colourless Motion Sensor artifact token with ""Target player balances Motion Sensor on target hand. If Motion Sensor falls off the hand, sacrifice Motion Sensor and that player loses 3 life."".",2 - Uncommon,Token,Player,Instant,,Duel
284,Professor Marvel,"Create a colourless Crystal Ball artifact token with ""Pay 3 life: Choose target player. That player's hand is revealed until a new target for Crystal Ball is chosen. Any player may activate this ability.""",2 - Uncommon,Token,Player,Instant,,Duel
286,The Highest of Fives,"Each player may high five the player to both sides of them. If they do not, they lose 5 life.",2 - Uncommon,Wacky,All,Instant,,Multi
290,Negaverse,"Until the start of your next turn, all creatures' power and toughness are switched.",2 - Uncommon,Buff,All,Round,,Duel
292,Blue in the Face,Have a breath holding contest with target opponent. Winner draws two cards. Loser discards two cards.,2 - Uncommon,Wacky,"Player, Opponent",Instant,,Duel
295,Evolution,"You may sacrifice a creature. If you do, search your library for a creature card of the same colour and put that card into play, then shuffle your library.",2 - Uncommon,Tutor,Player,Instant,,Duel
296,BSOD,"Return all blue creatures to their owner's hand. Until end of game, all creatures are blue in addition to their other colours.",2 - Uncommon,Cards,All,Ongoing,,Duel
302,Group Life,Gain 1 life for each creature in play.,2 - Uncommon,Life,Player,Instant,,Duel
304,Sorcerors' Day Camp,"Until the end of your turn, all creatures you control gain ""T: Deal 1 damage to target creature or player.""",2 - Uncommon,Buff,Player,Turn,,Duel
306,Mana Salve,"Until the end of your turn, every time you tap a land for mana, gain 1 life.",2 - Uncommon,Life,Player,Turn,,Duel
307,Mana Burn,"Until the end of your turn, mana pools do not empty at the end of each phase. At the beginning of your end step, each player loses 1 life for each unspent mana in their mana pool.",2 - Uncommon,Life,All,Turn,,Duel
309,Race Time,Vehicles you control become artifact creatures until end of turn. All creatures you control gain +1/+0 until end of turn.,2 - Uncommon,Buff,Player,Turn,,Duel
311,Bonus!,"Each player reveals the top card of their library. If it is a permanent, they may put it into play. If it is a spell, they may play it without paying its casting cost. Otherwise, they put the card in their hand.",2 - Uncommon,Cards,All,Instant,,Duel
312,Anti-Bob,"Each player reveals the top card of their library, gains life equal to that card's converted mana cost, then puts that card in their hand.",2 - Uncommon,Life,All,Instant,,Duel
314,Omega Tim,"Create a 1/1 blue Omega Tim creature token with ""T: Deal 1d6 damage to target creature or player.""",2 - Uncommon,Token,Player,Instant,,Duel
315,Hurkyl's Mixer,"Coin flip direction (Heads:Left, Tails:Right). Put all artifacts target player controls into the player in that direction's hand.",2 - Uncommon,Meta,Target Player,Instant,,Duel
317,Ultra Tim,"Create a 1/1 blue Ultra Tim creature token with ""T: Deal 1d3 damage to target creature or player.""",2 - Uncommon,Token,Player,Instant,,Duel
320,Trade-In Value,"You may sacrifice a creature. If you do, place a creature with equal or lesser converted mana cost onto the battlefield from your graveyard or hand.",2 - Uncommon,Cards,Player,Instant,,Duel
323,Catch-up,Choose one: [Draw enough cards to have one more card in hand than the opponent with the most cards in hand.] or [Deal 1 damage each to up to three target creatures or players.],2 - Uncommon,Cards,Player,Instant,,Duel
325,Abeyance,"Until the end of your turn, target player can't cast instant or sorcery spells, and that player can't activate abilities that aren't mana abilities. Draw a card.",2 - Uncommon,Meta,Target Player,Turn,,Duel
327,Looter,"Target creature gains ""Whenever this creature deals combat damage to a player, you may draw a card.""",2 - Uncommon,Buff,Creature,Ongoing,,Duel
330,Hogwarts Messengers,You may draw a card for each creature with flying on the battlefield.,2 - Uncommon,Cards,Player,Instant,,Duel
333,Put Your Left Hand In,Target player chooses a card from their hand and puts it in the player to their left's hand.,2 - Uncommon,Meta,Target Player,Instant,,Multi
334,Put Your Right Hand Out,Target player chooses a card at random from the player to their right's hand and puts it in their hand.,2 - Uncommon,Meta,Target Player,Instant,,Multi
335,Put Your Whole Self In,"Target player creates an */* colourless Avatar creature token with ""* equals controller's current life total."" and ""At the beginning of your upkeep, Avatar gains your choice of one of the following: trample, flying, menace, vigilance, or first strike until end of turn.""",2 - Uncommon,Token,Target Player,Instant,,Duel
336,And Shake It All About,"Each player may do the hokey-pokey. If they do not, they lose 3 life and discard a card at random.",2 - Uncommon,Damage,All,Instant,,Duel
337,The Salmon Mousse,All players get a poison counter.,2 - Uncommon,Damage,All,Instant,,Duel
339,Go Against A Sicilian,"Put a small item in one of your hands behind your back then present your closed hands to target opponent. They pick a hand. If they pick the hand containing the marker, they get two poison counters. Otherwise, you get two poison counters.",2 - Uncommon,Damage,"Player, Opponent",Instant,,Duel
341,Untrustworthy Caterers,Each opponent gets a poison counter.,2 - Uncommon,Damage,All,Instant,,Multi
343,Toxic Clouds,Creatures you control gain infect until end of turn.,2 - Uncommon,Buff,Player,Turn,,Duel
344,Leeches,Remove 1d6 poison counters.,2 - Uncommon,Life,Player,Instant,,Duel
345,Free Clinic,Each player removes 1d4 (rolled separately) poison counters.,2 - Uncommon,Life,All,Instant,,Duel
353,Ghost Sightings,Each player manifests the top card of their library.,2 - Uncommon,Cards,All,Ongoing,,Duel
354,Bone Grinder,"Until the start of your next turn, any time a creature goes into any graveyard from play, create a 1/1 black Skeleton creature token.",2 - Uncommon,Token,Player,Round,,Duel
357,"Derp, Party of Derp","For each opponent, a target creature that opponent controls loses all abilities and becomes a colourless 0/1 Derp until end of turn.",2 - Uncommon,Cards,All,Turn,,Duel
358,SUPER WACKY RANDOM TIME,"Choose up to three creatures you control. For each, roll 1d4. 1: Creature gains flying, trample, and vigilance. Put a +1/+1 counter on creature. 2: Random opponent gains control of creature. 3: Physically throw card at target opponent, who must remain still. If card hits opponent, they lose life equal to the creature's power plus its toughness. Sacrifice creature. 4: Each player creates X 1/1 green Squirrel token creatures. X is equal to the creature's CMC.",2 - Uncommon,Wacky,All,Instant,,Duel
360,Chaos Shower,Choose up to four cards in play that you control. Flip these cards onto the battlefield from a height of at least one foot. Destroy all nontoken permanents the cards touch. Then destroy the cards.,2 - Uncommon,Destruction,Player,Instant,,Duel
367,Ron Swanson,"Create three 3/2 deliciously marbled red/white Bacon creature tokens with delicious and ""When Bacon is put into a graveyard from play, put a +1/+1 counter on a creature you control or gain 2 life."" (Delicious creatures must be blocked if able.)",2 - Uncommon,Token,Player,Instant,,Duel
